,sentence,topic
9210,Szerinte ugyanis a reálbérek emelkedése a gépjárművek számának növekedésében is visszatükröződik.,economy
1250,A kis Jázmin öccsével közösen látogatta meg az ORFK épületét / Fotó: police.,other
3383,"Az amerikai határidős indexek is újabb fél százalék körüli esést áraznak, miután tegnap csúnya véget ért a kereskedés, a Nasdaq 1,9, az S&P 500 1,4 százalékos lejtmenetével.",economy
170,A beruházásnak köszönhetően a szombathelyi TDK szinte teljesen gázfüggetlenné válik - közölték.,economy
3743,"Az épületen belül más, ugyancsak az akkumulátorgyártáshoz szükséges alapanyagokat is tárolnak, köztük veszélyes anyagokat is – olvasható ki a biztonsági jelentésből.",technology
9792,"Valószínűleg nem kell sokáig kutatni, 2023 tavaszán mi foglalkoztatja az embereket a leginkább: a háború és az infláció.",economy
8809,"Ráadásul az országon belül nem mutatkozik meg olyan mértékű egyenlőtlenség a diákok eredményeiben regionális és nemi szinten, mint máshol.",other
2117,"A NATO felmérése szerint csupán a szlovákiaiak 51 százaléka véli úgy, hogy az országban a NATO-ban a helye, és a megkérdezettek fele ellenzi, hogy tovább segítsék Ukrajnát.",politics
6550,"Hozzátette, a béke a két harcoló félen múlik alapvetően.",politics
1836,"A megtakarításról a gyermek (fiatal felnőtt) 18. életévének betöltése napjától, de legkorábban a Start-számla megnyitását követő harmadik év elteltétől rendelkezhet - írta.",economy
6191,"Guardiola: „Akkor egyenlítettünk, amikor a Real volt fölényben""",sport
638,"A folyamatos harcok, rakétatámadások és betörési kísérletek árnyékában megkezdődtek a temetések is Izraelben.",politics
2412,A ráckevei Savoyai-kastélypark újra megtelik a hazai zenei élet krémjével 2023.,music
2916,"A tavalyi iráni demokráciapárti tüntetések során azonban a rezsim kifinomult taktikát alkalmazott, és nemcsak az internet-hozzáférést blokkolta időnként, hanem az olyan VPN-eket is célba vette, mint az Outline.",politics
5799,"Ezért az, aki gyakorlatilag a Jagged Alliance 2 felújított verzióját várja a játéktól, csalódni fog, a harmadik rész ennél egy fokkal casualebb alkotás lett.",other
7542,Még a hétvégén megkezdik rendőrségi kihallgatását.,politics
9033,"Sokszor előfordul, hogy az orvosoktól semmilyen információt nem kapok a fiam állapotáról.",other
5476,"Éppen ezért okozott olyan nagy meglepetést az a hozzászólás, amely azt sejteti, hogy talán eljött az időhamarosan oltár elé vezeti.",other
1322,A könyvben még sok szó esik a feleségéről.,other
812,"A három kiváló sportoló közül végül azt a Kozák Lucát választották meg a 2022-es esztendő legjobb női sportolójának, aki 100 méteres gátfutásban ezüstérmet szerzett a müncheni Multisport Eb-n.",sport
3262,A Vogue magazin a megnyitás után „A világ legdekadensebb szállodai lakosztálya” címet adományozta a Pigalle-nak.,other
2543,"Arra a felvetésre, hogy a Fidesz által sokat szidott szankciókat miért írta alá a kormányfő, azt javasolta, hogy erről Leel-Őssy kérdezze meg a Miniszterelnökséget.",politics
5214,"Ekkor még kifejezetten lassú folyamat volt a minőségbiztosítás, ami az ipari forradalommal megváltozott, hiszen fel kellett gyorsítani a folyamatokat.",technology
6447,"Helyi beszámolók szerint az es-Sifában alig maradt valaki a személyzetből, ők próbálják meg ellátni azokat, akik nem szállíthatók.",other
2508,"A rétközi egylet mindössze a Pénzügyőrt tudta legyőzni tavasszal, így visszacsúszott az osztályozós, tizenhetedik pozícióba.",other
8810,Ráadásul elég nagy baj van már most az iparágban.,economy
9992,"Zelenszkij új európai projektbe kezdett, amely mára túlszárnyalta őt, mint egyént, és Ukrajnáról, mint egészről szól – mondta Farred.",politics
9789,Valószínűleg nem az Ukrajna megsegítésére szervezett miseboros akciójával érdemelte ki az „elismerést”.,politics
4344,"Az ügylet azonban megrekedt az amerikai kongresszus ellenvetései miatt, mivel Ankara nem hagyta jóvá a NATO-bővítését.",politics
6261,"Ha délután is elbóbiskolnánk, soha ne aludjunk többet tizenöt–húsz percnél.",other
5520,Erre jó lehetőséget ad a keddi Hepp-kupamérkőzés.,sport
2455,"A rend, a törvényesség, a becsület, a tisztesség, az áldozat békéjét.",other
857,"A helyiek egyébként nemcsak vele ellenségesek, hanem valamennyi itt nyaralóházat vásárló személyekkel.",other
7046,"Kezdőknek 1-2, haladóknak 4-5 kör ajánlott.",other
8483,"Nyilván jól kiismerte a kapitalizmus és a kommunizmus természetét, stúdiumai során ezért jutott arra, hogy a legjobb üzlet az, amiben nincs kockázat, vagyis a haszon a miénk, a költség a népé.",politics
5094,"Egyiptom, Románia és Törökország is tűzoltókat küldött a térségbe.",politics
734,"A gondos, piros paprikával bélelt csomagolással kétféle anyagot lepleztek.",other
9504,Tordai háza körül a rendőrség is nyomoz.,politics
4082,"Az olimpiákkal nem volt szerencséje: 1996-ban, Atlantában a hetedik, 2000-ben, Sydneyben a 13., 2004-ben, Athénban a 11. helyezést érte el, míg négy évvel később, Pekingben nem is jutott döntőbe.",sport
2341,A polgári védelmi intézkedésekre az orosz-ukrán háború által előidézett geopolitikai helyzet és a román határ közvetlen közelében lévő ukrán kikötők – Reni és Izmail – elleni sorozatos orosz támadások miatt van szükség.,politics
4951,"Édesanyám Kazi Olga középtávfutó, Eb-bronzérmes, Universiade-győztes, vagyis főiskolai világbajnok, ami akkoriban az olimpia után a legmagasabb szintű verseny volt.",other
2256,"A nyolcvanas évek vége fele elmentem egy diszkóba, ahol láttam egy lányt, akinek nagyon jól volt levágva a haja.",other
354,A csapatok stílusának és tudásának ismeretében ezt írhatjuk: az otthoni védelem és a látogatói csatársor produkciója dönt majd.,other
6275,"Ha ezt a dolgot megértjük, máris világossá válik, hogy életünket mi magunk formálhatjuk és változtathatjuk szebbé, harmonikusabbá.",other
6780,"Itt a németek vártak a mieinkre, akik ezúttal sem hibáztak, s újabb nagyon sima győzelemmel (23-5) masíroztak be a legjobb négy közé.",sport
9031,Sok sikert kívánunk nekik mind a két sorozatban – jegyezte meg mindehhez Toronyai Miklós.,other
8782,Portugália és Spanyolország is részesülhet az energiából.,economy
3593,"Az elemzői várakozások szerint újabb 100 bázisponttal, 15-ről 14 százalékra csökkenti irányadó egynapos betéti kamatát a Magyar Nemzeti Bank (MNB) Monetáris Tanácsa holnapi kamatdöntő ülésén.",economy
305,"A cél, hogy az állami fejlesztések magyar alapanyagokkal, szakemberekkel, magyar tudással, magyar haszonra valósuljanak meg.",politics
186,"A BIK nem árul el titkot azzal, hogy a kormány júliusban bevezetett „2 százalékos biztonságos hitel” programjának tulajdonítható az óriási változás.",economy
9889,"Vélhetően most is erre számított, miután a hétvégi OPEC csúcson vállalta, hogy egymaga egymillió hordóval csökkenti a napi kitermelését.",economy
7466,"Már csak öt perc volt hátra, amikor a mérkőzésen másodszor két góllal vezetett korosztályos válogatottunk, amelyet még eggyel megtoldottak, így megnyerték a mérkőzést (28-25).",sport
9771,"Valamennyi programelem az akcióterületen élő, hátrányos helyzetű csoportokhoz tartozó, aktív korú, 16-54 éves embereknek szól.",other
7772,Mindenben számíthatott egymásra a csütörtökön elhunyt Galambos Erzsi és Csonka András.,other
1897,"Ami azonban igazán megdöbbentő, ha belegondolunk, hogy az egyes bolygók hányszor kerülték meg a Napot eddigi létezésük során.",other
1549,"A lap úgy tudja, hogy a német gyártmányú luxushajót az ismert francia tervező, Phillippe Starck alkotta meg.",other
3337,"Az alaphelyzet viszont nem változik, továbbra is egy Division-ügynököt fogunk irányítani, akivel egy túlélős, PvEvP játékmenetben kell helyt állnunk.",technology
2701,A szankciók miatt Európában energiaválság van és elszabadult a szankciós infláció.,politics
5454,"Ennélfogva sok évbe telhet, amíg a fegyvergyártók növelik a termelési kapacitásukat a háború által generált megnövekedett lőszerek iránti kereslet fényében.",economy
6679,Így az orosz Novateknek kellene vállalnia a projekt 25 milliárd dolláros költségét.,economy
8468,"Novák Katalin kiemelte, hogy ez a kisfiú a csoda, a túlélés, a jövő jelképe.",other
9109,"Számos izgalmas, az alkotáshoz vezető történettel találkozhattunk: volt, akinek újságíróként a mindennapjai részét képezte az írás, de akadt olyan is, aki kreatívírás kurzusokon, lényegében autodidakta módon közelített saját első művéhez.",other
9501,"Toót-Holló Tamás, a Magyar Nemzeti Médiaszövetség elnöke köszöntőt mond a III.",politics
454,"A divattervező párja most nagyon bízik abban, hogy Herczeg hamarosan kijöhet a börtönből.",other
6128,"Fontos változás még, hogy a közbeszerzési eljárások tárgyalásosan zajlanak majd, nemcsak az ár lesz döntő, de társadalmi szempontrendszert is kidolgoznak, amelyben környezeti szempontokat is érvényesítenek.",politics
6180,"Gondolkozás csak akkor lehet hiteles, ha a bűntudatot számon tartja (Kierkegaard: szorongás).",other
8777,Pontosztozkodás az Eger ellen.,sport
3544,Az egyik igen egyszerű: természetes úton ki lehet bányászni.,other
9305,"Talán nem véletlen, hogy mindez meg is ihletett, s tollat ragadva papírra is vetettem gondolataimat: Ragyogón süt a Nap, / a mezők pedig virágba borulnak.",other
2355,A poloskák napszaki aktivitásuknak megfelelően a délutáni napos órákban szignifikánsan nagyobb számban vonultak be a fűtött csapdákba.,other
9365,"Tehát mostantól a Rómain van egy pad, Gerendás Antal emlékére.",other
7663,Mennyire tudják a mindennapokban is humorral megélni a nehézségeket?,other
9833,"Várnai 16-ra emelte a találati számot a negyedik felvonásban, majd következett ugyanő emberelőnyben, Angyal pedig szabaddobásból (18-4).",sport
5861,"Ez már a tizedik európai ország, ahol működik az ukrán vállalat.",economy
1725,"A magyar oktatási program eredményességét évente ismétlődő mérésekkel követik, ennek lényege, hogy a gyermekek nyelvi fejlődését saját előző évi szintjükhöz hasonlítják.",other
3212,"A videó alatt kommentben többen is kérték, hogy mondjon példákat, de volt olyan is, aki le is írta hasonló élményét.",other
2621,"A Somogy megyei Karádon egy családi ház udvarán fél méter magasan állt a víz, az udvaron körbekerítve tartott ötven tyúk elpusztult, mire megérkeztek a tűzoltók.",other
593,"A fiatalok körében relatíve népszerű az eredetileg generációs alapon szerveződő Momentum, így a párt számára logikus a választói korhatár ügyének felkarolása.",politics
9712,"Ünnepet köszöntenek, zsebre rakják a kántálás díját, tovább állnak.",holidays
2462,"A rendelő olyan rossz anyagi helyzetben volt, hogy még 2021-ben csődvédelmet kértek.",economy
9735,"Utódja, Anton Volokolamszki metropolita néhány héttel később mégis találkozott Ferenc pápával a Vatikánban, majd 2022 szeptemberében a Kazahsztánban rendezett vallásközi csúcstalálkozón ismét megbeszélést folytattak egymással.",politics
1668,"A logisztika világa ezeknek a lapoknak a méreteihez, azaz a 800 x 1.200 x 144 milliméteres mérethez igazodott – a raktárfelületektől a fuvarozási rendszereken át a kamionok és vasúti kocsik rakodófelületéig.",trafic
4185,"Az összes elektronikus tranzakció típus emelkedő tendenciát mutatott a pénzforgalom második negyedévi adataiban, különösen pozitív hír, hogy a mobiltárcás fizetések is egyre.",economy
767,"A H5-ös, a H6-os, a H8-as és a H9-es HÉV vonalán szenteste 16 óra után is biztosítják az utazási lehetőséget, a megszokottnál ritkábban, egészen a késő esti üzemzárásig.",trafic
3254,"A vitorlázás esetében azonban tudni kell, hogy rendkívül költséges külföldön versenyezni, a saját hajót ugyanis oda kell szállítani az adott versenyre, ez pedig jelentős kiadással jár.",other
8495,"Nyolc intézmény, közel kétszáz diák nevezett csapatokkal – volt olyan iskola, amelyik kérte, két csapattal is jöhessenek – és mindez a Határtalanul programba ágyazva, ugyanis játékos fejtörők tarkították a közel két kilométeres futást.",other
